2021-01-22	30.100000381469727	35.36000061035156	30.049999237060547	34.47999954223633	34.47999954223633	15823200
2021-01-25	36.029998779296875	38.959999084472656	34.29999923706055	36.5099983215332	36.5099983215332	12319900
2021-01-26	36.58000183105469	37.27000045776367	34.79999923706055	37.189998626708984	37.189998626708984	8268600
2021-01-27	35.88999938964844	44.16999816894531	35.58000183105469	42.22999954223633	42.22999954223633	12080100
2021-01-28	40.75	41.79999923706055	33.54999923706055	37.9900016784668	37.9900016784668	11927700
2021-01-29	37.79999923706055	39.9900016784668	35.540000915527344	35.540000915527344	35.540000915527344	6920800
2021-02-01	36.0	40.02000045776367	35.849998474121094	38.90999984741211	38.90999984741211	7757000
2021-02-02	39.31999969482422	39.56999969482422	36.880001068115234	38.86000061035156	38.86000061035156	4566200
2021-02-03	38.790000915527344	46.119998931884766	38.790000915527344	43.72999954223633	43.72999954223633	9915500
2021-02-04	43.91999816894531	46.68000030517578	42.849998474121094	44.400001525878906	44.400001525878906	5313200
2021-02-05	45.0	48.59000015258789	43.150001525878906	47.95000076293945	47.95000076293945	6061800
2021-02-08	47.939998626708984	52.880001068115234	47.099998474121094	52.349998474121094	52.349998474121094	7198500
2021-02-09	51.9900016784668	55.959999084472656	49.11000061035156	55.349998474121094	55.349998474121094	7383200
2021-02-10	55.02000045776367	56.5	49.0	51.47999954223633	51.47999954223633	7259000
2021-02-11	52.939998626708984	54.88999938964844	47.11000061035156	49.939998626708984	49.939998626708984	6150400
2021-02-12	48.47999954223633	49.4900016784668	45.560001373291016	47.880001068115234	47.880001068115234	5392100
2021-02-16	48.08000183105469	50.790000915527344	47.540000915527344	47.849998474121094	47.849998474121094	4380200
2021-02-17	46.130001068115234	47.61000061035156	43.0	45.06999969482422	45.06999969482422	5022800
2021-02-18	42.040000915527344	44.0099983215332	40.04999923706055	41.40999984741211	41.40999984741211	5558200
2021-02-19	41.95000076293945	45.54999923706055	41.86000061035156	43.189998626708984	43.189998626708984	4020500
2021-02-22	42.7400016784668	44.59000015258789	39.900001525878906	40.349998474121094	40.349998474121094	4459900
2021-02-23	36.0099983215332	37.939998626708984	32.59000015258789	36.5	36.5	7729500
2021-02-24	35.95000076293945	38.2400016784668	33.7599983215332	37.439998626708984	37.439998626708984	5640900
2021-02-25	38.11000061035156	39.66999816894531	34.40999984741211	35.869998931884766	35.869998931884766	4383100
2021-02-26	35.83000183105469	37.9900016784668	34.400001525878906	35.84000015258789	35.84000015258789	3804500
2021-03-01	38.70000076293945	39.22999954223633	37.0	38.790000915527344	38.790000915527344	3756500
2021-03-02	37.34000015258789	38.16999816894531	31.040000915527344	31.170000076293945	31.170000076293945	8014800
2021-03-03	31.8799991607666	32.68000030517578	27.170000076293945	27.489999771118164	27.489999771118164	8071400
2021-03-04	26.190000534057617	29.100000381469727	24.6200008392334	25.6299991607666	25.6299991607666	8845900
2021-03-05	26.399999618530273	26.469999313354492	22.0	24.75	24.75	8091600
2021-03-08	24.809999465942383	25.6200008392334	22.729999542236328	22.8700008392334	22.8700008392334	5530800
2021-03-09	23.989999771118164	26.6200008392334	23.520000457763672	26.010000228881836	26.010000228881836	7522600
