Date,Open,High,Low,Close,Adj Close,Volume
2022-03-17,14.699999809265137,15.369999885559082,14.489999771118164,15.34000015258789,15.34000015258789,1696000
2022-03-18,15.300000190734863,16.31999969482422,15.289999961853027,16.260000228881836,16.260000228881836,2903200
2022-03-21,16.1299991607666,16.350000381469727,15.449999809265137,15.90999984741211,15.90999984741211,1384500
2022-03-22,15.949999809265137,16.540000915527344,15.949999809265137,16.18000030517578,16.18000030517578,1560200
2022-03-23,15.90999984741211,16.5,15.720000267028809,15.829999923706055,15.829999923706055,1189300
2022-03-24,15.899999618530273,16.229999542236328,15.600000381469727,16.229999542236328,16.229999542236328,1287200
2022-03-25,16.25,16.350000381469727,15.640000343322754,16.040000915527344,16.040000915527344,1301600
2022-03-28,16.0,16.239999771118164,15.859999656677246,16.219999313354492,16.219999313354492,1113700
2022-03-29,16.360000610351562,17.649999618530273,16.360000610351562,17.56999969482422,17.56999969482422,1973900
2022-03-30,17.399999618530273,17.709999084472656,16.969999313354492,17.059999465942383,17.059999465942383,1438000
2022-03-31,17.0,17.100000381469727,16.639999389648438,16.68000030517578,16.68000030517578,1162500
2022-04-01,16.90999984741211,17.299999237060547,16.469999313354492,16.81999969482422,16.81999969482422,1504500
2022-04-04,17.0,17.829999923706055,17.0,17.540000915527344,17.540000915527344,1507500
2022-04-05,17.40999984741211,17.5,16.309999465942383,16.3700008392334,16.3700008392334,1358600
2022-04-06,16.0,16.149999618530273,15.4399995803833,15.649999618530273,15.649999618530273,1476400
2022-04-07,15.729999542236328,16.0,15.039999961853027,15.380000114440918,15.380000114440918,1579100
2022-04-08,15.380000114440918,15.380000114440918,14.869999885559082,14.90999984741211,14.90999984741211,967100
2022-04-11,14.800000190734863,15.130000114440918,14.550000190734863,14.729999542236328,14.729999542236328,1099200
2022-04-12,14.970000267028809,15.380000114440918,14.649999618530273,14.720000267028809,14.720000267028809,1120600
2022-04-13,14.75,15.140000343322754,14.470000267028809,15.010000228881836,15.010000228881836,800400
2022-04-14,15.100000381469727,15.119999885559082,14.399999618530273,14.399999618530273,14.399999618530273,797400
2022-04-18,14.399999618530273,14.449999809265137,14.0,14.100000381469727,14.100000381469727,814500
2022-04-19,14.010000228881836,14.6899995803833,14.010000228881836,14.279999732971191,14.279999732971191,854900
2022-04-20,14.350000381469727,14.359999656677246,13.9399995803833,13.989999771118164,13.989999771118164,785500
2022-04-21,14.369999885559082,14.579999923706055,13.90999984741211,14.220000267028809,14.220000267028809,2028500
2022-04-22,14.069999694824219,14.300000190734863,13.289999961853027,13.369999885559082,13.369999885559082,1589500
2022-04-25,13.180000305175781,13.75,13.119999885559082,13.75,13.75,1268400
2022-04-26,13.539999961853027,13.539999961853027,12.600000381469727,12.630000114440918,12.630000114440918,1953800
2022-04-27,12.5600004196167,12.930000305175781,12.15999984741211,12.229999542236328,12.229999542236328,1395800
2022-04-28,11.800000190734863,12.0,11.140000343322754,11.739999771118164,11.739999771118164,3746200
2022-04-29,11.670000076293945,12.170000076293945,11.279999732971191,11.34000015258789,11.34000015258789,1963500
2022-05-02,11.239999771118164,11.84000015258789,11.100000381469727,11.829999923706055,11.829999923706055,1548400
2022-05-03,11.880000114440918,12.180000305175781,11.760000228881836,11.880000114440918,11.880000114440918,1258100
2022-05-04,11.930000305175781,12.359999656677246,11.430000305175781,12.300000190734863,12.300000190734863,1405000
2022-05-05,12.100000381469727,12.050000190734863,11.350000381469727,11.395000457763672,11.395000457763672,745161
